name,batch_id,open,close,volume,item_url
AWP | Hyper Beast (Factory New),2025-07-30 01:31:12,151.31,139.86,10,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
Sticker | Hypnoteyes (Holo),2025-07-30 01:31:12,1.18,1.17,193,https://steamcommunity.com/market/listings/730/Sticker%20|%20Hypnoteyes%20(Holo)
Operation Wildfire Case,2025-07-30 01:31:12,5.0,4.99,1695,https://steamcommunity.com/market/listings/730/Operation%20Wildfire%20Case
Desert Eagle | Mecha Industries (Factory New),2025-07-30 01:31:12,18.74,16.07,89,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Mecha%20Industries%20(Factory%20New)
Sticker | Bolt Energy (Foil),2025-07-30 01:31:12,1.67,1.67,108,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Sticker | Team Liquid (Holo) | Paris 2023,2025-07-30 01:31:12,1.61,1.58,173,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
Dreams & Nightmares Case,2025-07-30 01:31:12,2.41,2.37,65299,https://steamcommunity.com/market/listings/730/Dreams%20&%20Nightmares%20Case
Sticker | Taste Buddy (Holo),2025-07-30 01:31:12,4.97,4.96,209,https://steamcommunity.com/market/listings/730/Sticker%20|%20Taste%20Buddy%20(Holo)
Operation Broken Fang Case,2025-07-30 01:31:12,13.45,13.44,513,https://steamcommunity.com/market/listings/730/Operation%20Broken%20Fang%20Case
Sticker | FaZe Clan (Holo) | Paris 2023,2025-07-30 01:31:12,1.44,1.4,152,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
M4A4 | Desolate Space (Factory New),2025-07-30 01:31:12,81.65,78.16,20,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-07-30 01:31:12,107.0,100.47,13,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
M4A1-S | Leaded Glass (Factory New),2025-07-30 01:31:12,51.58,50.26,40,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Sticker | Team Liquid (Holo) | Paris 2023,2025-07-31 01:48:41,1.56,1.55,199,https://steamcommunity.com/market/listings/730/Sticker%20|%20Team%20Liquid%20(Holo)%20|%20Paris%202023
M4A1-S | Leaded Glass (Factory New),2025-07-31 01:48:41,51.7,48.82,21,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Leaded%20Glass%20(Factory%20New)
Sticker | Bolt Energy (Foil),2025-07-31 01:48:41,1.69,1.69,118,https://steamcommunity.com/market/listings/730/Sticker%20|%20Bolt%20Energy%20(Foil)
Desert Eagle | Printstream (Factory New),2025-07-31 01:48:41,125.0,123.9,15,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20|%20Printstream%20(Factory%20New)
M4A4 | 龍王 (Dragon King) (Factory New),2025-07-31 01:48:41,92.83,54.04,24,https://steamcommunity.com/market/listings/730/M4A4%20|%20龍王%20(Dragon%20King)%20(Factory%20New)
M4A4 | Desolate Space (Factory New),2025-07-31 01:48:41,85.23,81.56,10,https://steamcommunity.com/market/listings/730/M4A4%20|%20Desolate%20Space%20(Factory%20New)
M4A1-S | Decimator (Factory New),2025-07-31 01:48:41,107.81,96.98,10,https://steamcommunity.com/market/listings/730/M4A1-S%20|%20Decimator%20(Factory%20New)
Sticker | FaZe Clan (Holo) | Paris 2023,2025-07-31 01:48:41,1.55,1.55,380,https://steamcommunity.com/market/listings/730/Sticker%20|%20FaZe%20Clan%20(Holo)%20|%20Paris%202023
M4A4 | Neo-Noir (Factory New),2025-07-31 01:48:41,103.5,100.26,10,https://steamcommunity.com/market/listings/730/M4A4%20|%20Neo-Noir%20(Factory%20New)
AWP | Hyper Beast (Factory New),2025-07-31 01:48:41,150.65,148.51,5,https://steamcommunity.com/market/listings/730/AWP%20|%20Hyper%20Beast%20(Factory%20New)
AK-47 | Asiimov (Factory New),2025-07-31 01:48:41,363.17,344.61,1,https://steamcommunity.com/market/listings/730/AK-47%20|%20Asiimov%20(Factory%20New)
